Pack ID / Elevation(s) / Pack-Option Name,Pack ID / Elevation(s) / Pack-Option Name Cleaned,Shipping Order/ Pack Number,Elevation,Option,Option/Phase Number,ItemNo,Type,,,Spill Formulas,,,,,,,,,,,ItemNo,Type
|20.21 OPT DBA DELUXE MASTER BATH 1 - DBA,|20.21 OPT DBA DELUXE MASTER BATH 1,3,,DBA,DBA,4085,Lumber,,,|20.21 OPT DBA DELUXE MASTER BATH 1,DBA,,,,|20.21 OPT DBA DELUXE MASTER BATH 1,,,,|20,.21 OPT DBA DELUXE MASTER BATH 1,4085,Lumber
|20.22 OPT DBA2 DELUXE MASTER BATH 2 - DBA2,|20.22 OPT DBA2 DELUXE MASTER BATH 2,3,,DBA2,DBA2,4085,Lumber,,,|20.22 OPT DBA2 DELUXE MASTER BATH 2,DBA2,,,,|20.22 OPT DBA2 DELUXE MASTER BATH 2,,,,|20,.22 OPT DBA2 DELUXE MASTER BATH 2,4085,Lumber
|20.23 OPT DBA DELUXE MASTER BATH 3 - DBA3,|20.23 OPT DBA DELUXE MASTER BATH 3,3,,DBA3,DBA3,4085,Lumber,,,|20.23 OPT DBA DELUXE MASTER BATH 3,DBA3,,,,|20.23 OPT DBA DELUXE MASTER BATH 3,,,,|20,.23 OPT DBA DELUXE MASTER BATH 3,4085,Lumber
|20.24 OPT BEDROOM 4 - ABR4,|20.24 OPT BEDROOM 4,3,,ABR4,ABR4,4085,Lumber,,,|20.24 OPT BEDROOM 4,ABR4,,,,|20.24 OPT BEDROOM 4,,,,|20,.24 OPT BEDROOM 4,4085,Lumber
|20.24 OPT BEDROOM 4 - ABR4BA,|20.24 OPT BEDROOM 4,3,,ABR4BA,ABR4BA,4085,Lumber,,,|20.24 OPT BEDROOM 4,ABR4BA,,,,|20.24 OPT BEDROOM 4,,,,|20,.24 OPT BEDROOM 4,4085,Lumber
|20.25 OPT BEDROOM 5 W/ BATHROOM  - ABR5BA,|20.25 OPT BEDROOM 5 W/ BATHROOM,3,,ABR5BA,ABR5BA,4085,Lumber,,,|20.25 OPT BEDROOM 5 W/ BATHROOM,ABR5BA,,,,|20.25 OPT BEDROOM 5 W/ BATHROOM,,,,|20,.25 OPT BEDROOM 5 W/ BATHROOM,4085,Lumber
|20.27 OPT STUDY - STUDY,|20.27 OPT STUDY,3,,STUDY,STUDY,4085,Lumber,,,|20.27 OPT STUDY,STUDY,,,,|20.27 OPT STUDY,,,,|20,.27 OPT STUDY,4085,Lumber
|20.28 OPT DINING ROOM,|20.28 OPT DINING ROOM,3,,,,4085,Lumber,,,|20.28 OPT DINING ROOM,,,,,|20.28 OPT DINING ROOM,,,,|20,.28 OPT DINING ROOM,4085,Lumber
|20.29 OPT BED W/ BATHROOM ILO DEN,|20.29 OPT BED W/ BATHROOM ILO DEN,3,,,,4085,Lumber,,,|20.29 OPT BED W/ BATHROOM ILO DEN,,,,,|20.29 OPT BED W/ BATHROOM ILO DEN,,,,|20,.29 OPT BED W/ BATHROOM ILO DEN,4085,Lumber
|20.33 OPT FRENCH DOUBLE DOOR - FRENCHDB,|20.33 OPT FRENCH DOUBLE DOOR,3,,FRENCHDB,FRENCHDB,4085,Lumber,,,|20.33 OPT FRENCH DOUBLE DOOR,FRENCHDB,,,,|20.33 OPT FRENCH DOUBLE DOOR,,,,|20,.33 OPT FRENCH DOUBLE DOOR,4085,Lumber
|20.34 OPT POCKET OFFICE,|20.34 OPT POCKET OFFICE,3,,,,4085,Lumber,,,|20.34 OPT POCKET OFFICE,,,,,|20.34 OPT POCKET OFFICE,,,,|20,.34 OPT POCKET OFFICE,4085,Lumber
