Pack ID / Elevation(s) / Pack-Option Name Cleaned,Shipping Order/ Pack Number,Elevation Letter Combined,Option,Elevation/Option Combined,Elevation/ Option 1,Elevation/ Option 2,Elevation/ Option 3,Plan#,,,ItemNo,Type,,Final Code
|25.10 COVERED DECK      ,3,,COVD,COVD,COVD,,,XXXX,25.10,COVERED DECK      ,1000,Framing,,XXXX-25.1-1000
|25.10 COVERED DECK FRAMING     ,3,,COVD,COVD,COVD,,,XXXX,25.10,COVERED DECK FRAMING     ,1000,Framing,,XXXX-25.1-1000
|25.1s COVERED DECK STAIR FRAMING    ,3,,COVD,COVD,COVD,,,XXXX,25.1s,COVERED DECK STAIR FRAMING    ,1000,Framing,,XXXX-25.1s-1000
|25.20 COVERED DECK FRAMING     ,3,,COVD2,COVD2,COVD2,,,XXXX,25.20,COVERED DECK FRAMING     ,1000,Framing,,XXXX-25.2-1000
|25.30 COVERED DECK FRAMING     ,3,,COVD3,COVD3,COVD3,,,XXXX,25.30,COVERED DECK FRAMING     ,1000,Framing,,XXXX-25.3-1000
|25.tc DECK FRAMING      ,3,,TALLCRWL,TALLCRWL,TALLCRWL,,,XXXX,25.tc,DECK FRAMING      ,1000,Framing,,XXXX-25.tc-1000
|27.00 MAIN FLOOR SHAFTLINER     ,3,A,,ELVA,ELVA,,,XXXX,27.00,MAIN FLOOR SHAFTLINER     ,1000,Framing,,XXXX-27-1000
|30.00 2ND FLOOR SYSTEM     ,3,,,,,,,XXXX,30.00,2ND FLOOR SYSTEM     ,1000,Framing,,XXXX-30-1000
|30.00 2ND FLOOR SYSTEM|     ,3,,,,,,,XXXX,30.00,2ND FLOOR SYSTEM|     ,1000,Framing,,XXXX-30-1000
|30.21 OPT DBA DELUXE MASTER BATH 1  ,3,,DBA,DBA,DBA,,,XXXX,30.21,OPT DBA DELUXE MASTER BATH 1  ,1000,Framing,,XXXX-30.21-1000
|30.22 OPT DBA2 DELUXE MASTER BATH 2  ,3,,DBA2,DBA2,DBA2,,,XXXX,30.22,OPT DBA2 DELUXE MASTER BATH 2  ,1000,Framing,,XXXX-30.22-1000
|30.62 OPT LOFT2 2ND FLOOR SYSTEM (SHIP WITH MAIN,3,,LOFT2,LOFT2,LOFT2,,,XXXX,30.62,OPT LOFT2 2ND FLOOR SYSTEM (SHIP WITH MAIN,1000,Framing,,XXXX-30.62-1000
|30.nl 2ND FLOOR SYSTEM (SHIP WITH MAIN WALLS ,3,"A, B, C",,"ELVA, ELVB, ELVC",ELVA,ELVB,ELVC,XXXX,30.nl,2ND FLOOR SYSTEM (SHIP WITH MAIN WALLS ,1000,Framing,,XXXX-30.nl-1000
|30.00 2ND FLOOR SYSTEM     ,3,"B, C, D",,,,,,XXXX,30.00,2ND FLOOR SYSTEM     ,1000,Framing,,XXXX-30-1000
|32.00 2ND FLOOR SUBFLOOR     ,4,,,,,,,XXXX,32.00,2ND FLOOR SUBFLOOR     ,1000,Framing,,XXXX-32-1000
|32.62 OPT LOFT2 2ND FLOOR SUBFLOOR   ,4,,LOFT2,LOFT2,LOFT2,,,XXXX,32.62,OPT LOFT2 2ND FLOOR SUBFLOOR   ,1000,Framing,,XXXX-32.62-1000
|32.lo 2ND FLOOR DECKING     ,4,,LOFT,LOFT,LOFT,,,XXXX,32.lo,2ND FLOOR DECKING     ,1000,Framing,,XXXX-32.lo-1000
